Title,Description,Url
Gris (Original Game Soundtrack),Description,https://www.youtube.com/playlist?list=OLAK5uy_nWEw_XDViVW6OkabOr67WU58-rN760uYE
Mae,"Provided to YouTube by SonoSuite

Mae · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=Ti__MGSXkVk
"Gris, Pt. 1","Provided to YouTube by SonoSuite

Gris, Pt. 1 · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=c_2gHmpZmzU
Debris,"Provided to YouTube by SonoSuite

Debris · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=j1XUU6gzHgg
Lift,"Provided to YouTube by SonoSuite

Lift · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=OoNV37ble0A
Meridian,"Provided to YouTube by SonoSuite

Meridian · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=rfsPt-nmfzo
Chiasm,"Provided to YouTube by SonoSuite

Chiasm · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=vni-HhZsxk0
Incipit,"Provided to YouTube by SonoSuite

Incipit · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=_JHBZI2Bf1w
Perseverance,"Provided to YouTube by SonoSuite

Perseverance · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=v1c5gV3EpRA
Boundary,"Provided to YouTube by SonoSuite

Boundary · Berlinist

Gris (Original Game Soundtrack)

℗ Berlinist / Nomada Studio

Released on: 2018-12-13

Auto-generated by YouTube.",https://www.youtube.com/watch?v=pX50r_UPG9k
